mode,strategy,run_number,user,cpu_ms,elapsed_ms,logical_reads,rows_returned,errors,machine,policy_id,policy_name,predicate_function,predicate_columns,table_affected,query_name,tables_used
WITH_RLS,NO_CARTESIAN,2,user1,3333,299,104890,1,,Mr,P3,,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,1042,98,104890,1,,Mr,P3,,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,3027,279,104890,1,,Mr,P3,,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,1047,94,104890,1,,Mr,P3,,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,3159,273,104890,1,,Mr,P3,,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,1036,99,104890,1,,Mr,P3,,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,3337,301,104890,1,,Mr,P3,,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,1388,141,104890,1,,Mr,P3,,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,2757,264,104890,1,,Mr,P4,,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,658,62,104890,1,,Mr,P4,,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,3069,272,104890,1,,Mr,P4,,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,704,70,104890,1,,Mr,P4,,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,3167,310,104890,1,,Mr,P4,,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,1019,98,104890,1,,Mr,P4,,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,3170,296,104890,1,,Mr,P4,,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,1084,108,104890,1,,Mr,P4,,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,2963,286,104890,1,,Mr,P4,,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,1128,110,104890,1,,Mr,P4,,dbo.p4_open_not_returned,"l_linestatus,l_returnflag",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,3154,280,104890,1,,Mr,P2,,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,1060,97,104890,1,,Mr,P2,,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,2246,202,104890,1,,Mr,P2,,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,1028,92,104890,1,,Mr,P2,,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,3119,278,104890,1,,Mr,P2,,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,1057,100,104890,1,,Mr,P2,,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,3150,288,104890,1,,Mr,P2,,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,1064,95,104890,1,,Mr,P2,,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,3174,273,104890,1,,Mr,P2,,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,1018,95,104890,1,,Mr,P2,,dbo.p2_no_carefully,l_comment,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,3058,276,104890,1,,Mr,P7,,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,657,69,104890,1,,Mr,P7,,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,2736,258,104890,1,,Mr,P7,,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,792,82,104890,1,,Mr,P7,,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,2887,276,104890,1,,Mr,P7,,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,646,67,104890,1,,Mr,P7,,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,2731,257,104890,1,,Mr,P7,,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,669,65,104890,1,,Mr,P7,,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,2715,259,104890,1,,Mr,P7,,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,627,68,104890,1,,Mr,P7,,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,2727,257,104890,1,,Mr,P1,,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,637,63,104890,1,,Mr,P1,,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,2687,257,104890,1,,Mr,P1,,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,767,73,104890,1,,Mr,P1,,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,2700,261,104890,1,,Mr,P1,,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,1043,99,104890,1,,Mr,P1,,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,2773,276,104890,1,,Mr,P1,,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,678,69,104890,1,,Mr,P1,,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,3229,289,104890,1,,Mr,P1,,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,1038,107,104890,1,,Mr,P1,,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
