mode,strategy,run_number,user,policy_ids,predicate_functions,tables_affected,cpu_ms,elapsed_ms,logical_reads,physical_reads,read_ahead_reads,rows_returned,errors,machine,query_name,tables_used
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,4746,4820,4906844,262,17506,0,,Mr,11.sql,"nation,partsupp,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,4931,5032,4906844,263,17506,0,,Mr,11.sql,"nation,partsupp,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,3289,470,542483,3328,104054,2,,Mr,12.sql,"lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,3419,500,542483,3327,104054,2,,Mr,12.sql,"lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,3428,486,542483,3327,104055,2,,Mr,12.sql,"lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,4768,556,521588,6,26302,1,,Mr,13.sql,"customer,orders"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,4828,524,521588,6,26302,1,,Mr,13.sql,"customer,orders"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,4793,539,521588,6,26302,1,,Mr,13.sql,"customer,orders"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,5012,677,1066899,5310,107556,1,,Mr,14.sql,"lineitem,part"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,5065,690,1066899,5310,107556,1,,Mr,14.sql,"lineitem,part"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,5080,658,1066899,5310,107563,1,,Mr,14.sql,"lineitem,part"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,18594,1962,5635642,3330,107555,0,,Mr,15.sql,"lineitem,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,20042,2026,5636122,3329,107555,0,,Mr,15.sql,"lineitem,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,21084,2195,5636118,3329,107555,0,,Mr,15.sql,"lineitem,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,963,177,126142,1987,3709,2,,Mr,16.sql,"part,partsupp,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,1154,214,126142,1987,3733,2,,Mr,16.sql,"part,partsupp,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,1025,190,126142,1987,3777,2,,Mr,16.sql,"part,partsupp,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,132,44,4214,207,3503,1,,Mr,17.sql,"lineitem,part"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,150,53,4214,207,3503,1,,Mr,17.sql,"lineitem,part"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,184,59,4214,207,3503,1,,Mr,17.sql,"lineitem,part"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,251510,25062,72119470,3327,104052,0,,Mr,18.sql,"customer,lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,253070,25563,72119470,3327,104053,0,,Mr,18.sql,"customer,lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,256803,25756,72119470,3327,104053,0,,Mr,18.sql,"customer,lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,314,67,5113,442,3503,1,,Mr,19.sql,"lineitem,part"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,282,63,5113,442,3503,1,,Mr,19.sql,"lineitem,part"
