mode,strategy,run_number,user,cpu_ms,elapsed_ms,logical_reads,rows_returned,errors,machine,policy_id,policy_name,predicate_function,predicate_columns,table_affected,query_name,tables_used
WITH_RLS,NO_CARTESIAN,3,user1,2730,265,104890,1,,Mr,P5,lineitem_rls_policy,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,627,63,104890,1,,Mr,P5,lineitem_rls_policy,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,2825,267,104890,1,,Mr,P5,lineitem_rls_policy,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,613,63,104890,1,,Mr,P5,lineitem_rls_policy,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,2743,261,104890,1,,Mr,P5,lineitem_rls_policy,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,934,94,104890,1,,Mr,P5,lineitem_rls_policy,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,2925,273,104890,1,,Mr,P9,lineitem_rls_policy,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,659,67,104890,1,,Mr,P9,lineitem_rls_policy,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,3005,281,104890,1,,Mr,P9,lineitem_rls_policy,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,1059,103,104890,1,,Mr,P9,lineitem_rls_policy,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,3006,268,104890,1,,Mr,P9,lineitem_rls_policy,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,1088,107,104890,1,,Mr,P9,lineitem_rls_policy,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,3076,270,104890,1,,Mr,P9,lineitem_rls_policy,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,1118,118,104890,1,,Mr,P9,lineitem_rls_policy,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,3138,296,104890,1,,Mr,P9,lineitem_rls_policy,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,998,89,104890,1,,Mr,P9,lineitem_rls_policy,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,3097,293,104890,1,,Mr,P3,lineitem_rls_policy,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,1018,91,104890,1,,Mr,P3,lineitem_rls_policy,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
