mode,strategy,run_number,user,policy_ids,predicate_functions,tables_affected,cpu_ms,elapsed_ms,logical_reads,rows_returned,errors,machine,query_name,tables_used
WITH_RLS,MODE1_CARTESIAN,4,user1,P6;P13;P15,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,3950,3786,4582153,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,5,user1,P6;P13;P15,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,2722,2602,4582153,0,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,1,user1,P6;P13;P15,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,736,76,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,2,user1,P6;P13;P15,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,940,99,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,3,user1,P6;P13;P15,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,1046,102,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,4,user1,P6;P13;P15,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,772,84,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,5,user1,P6;P13;P15,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p15_customer_recent_large_orders,lineitem;orders;customer,991,99,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,1,user1,P6;P13;P29,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,5767,2937,5674567,1642,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,2,user1,P6;P13;P29,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,6393,3354,5674567,1642,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,3,user1,P6;P13;P29,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,6132,3160,5674567,1642,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,4,user1,P6;P13;P29,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,5801,2847,5674567,1642,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,5,user1,P6;P13;P29,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,5731,2826,5674567,1642,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,1,user1,P6;P13;P29,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,728,75,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,2,user1,P6;P13;P29,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,1028,110,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,3,user1,P6;P13;P29,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,995,100,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,4,user1,P6;P13;P29,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,1043,104,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,5,user1,P6;P13;P29,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p29_customer_lifetime_value_gt_balance,lineitem;orders;customer,1029,101,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,1,user1,P6;P33;P14,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p14_customer_asia_balance,lineitem;orders;customer,170348,21094,27978740,876,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,2,user1,P6;P33;P14,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p14_customer_asia_balance,lineitem;orders;customer,188528,26161,27978740,876,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,3,user1,P6;P33;P14,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p14_customer_asia_balance,lineitem;orders;customer,209888,28014,27978740,876,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,4,user1,P6;P33;P14,dbo.p6_ship_commit;dbo.p33_orders_customer_above_nation_avg;dbo.p14_customer_asia_balance,lineitem;orders;customer,203526,26501,27978740,876,,Mr,3.sql,"lineitem,orders,customer"
